Voter ID,County,Constituency,Ward,Region,Age,Gender,Registered Party,Voting Turnout,Year,Presidential Vote,MP Vote,MCA Vote
VOTER00001,Uasin Gishu,Constituency 5,Ward 2,Rift Valley,46,Male,UDA,Yes,2022,UDA,Independent,Kanu
VOTER00002,Narok,Constituency 7,Ward 1,Rift Valley,21,Male,UDA,Yes,2013,UDA,Kanu,UDA
VOTER00003,Taita Taveta,Constituency 9,Ward 4,Coast,46,Female,ODM,No,2022,UDA,ODM,Independent
VOTER00004,Kitui,Constituency 5,Ward 2,Eastern,45,Female,Wiper,Yes,2013,UDA,Kanu,Jubilee
VOTER00005,Nyandarua,Constituency 8,Ward 5,Central,33,Female,UDA,Yes,2013,UDA,Independent,Kanu
VOTER00006,Vihiga,Constituency 2,Ward 1,Western,47,Female,Ford Kenya,No,2013,ODM,Wiper,Independent
VOTER00007,Vihiga,Constituency 6,Ward 3,Western,44,Female,Ford Kenya,Yes,2022,UDA,ODM,Kanu
VOTER00008,Kwale,Constituency 8,Ward 4,Coast,52,Male,ODM,No,2022,ODM,UDA,Jubilee
VOTER00009,Kitui,Constituency 2,Ward 2,Eastern,90,Female,UDA,Yes,2013,UDA,Wiper,ODM
VOTER00010,Nairobi,Constituency 4,Ward 5,Nairobi,86,Female,ODM,No,2022,UDA,ODM,ODM
VOTER00011,Garissa,Constituency 1,Ward 1,North Eastern,37,Male,UDA,Yes,2022,UDA,Wiper,Kanu
VOTER00012,Nairobi,Constituency 2,Ward 5,Nairobi,52,Female,UDA,Yes,2013,UDA,Independent,Independent
VOTER00013,Nairobi,Constituency 9,Ward 1,Nairobi,56,Male,UDA,Yes,2013,ODM,Kanu,UDA
VOTER00014,Bungoma,Constituency 1,Ward 1,Western,64,Female,ODM,No,2013,Ford Kenya,UDA,Independent
VOTER00015,Garissa,Constituency 9,Ward 2,North Eastern,34,Female,UDA,Yes,2022,ODM,ODM,Kanu
VOTER00016,Taita Taveta,Constituency 5,Ward 4,Coast,65,Female,ODM,Yes,2022,ODM,UDA,Kanu
VOTER00017,Lamu,Constituency 4,Ward 1,Coast,27,Male,ODM,Yes,2013,ODM,Kanu,ODM
VOTER00018,Nairobi,Constituency 4,Ward 5,Nairobi,34,Female,ODM,No,2013,UDA,UDA,Independent
VOTER00019,Kitui,Constituency 7,Ward 4,Eastern,77,Male,UDA,Yes,2022,Wiper,Independent,Jubilee
VOTER00020,Nakuru,Constituency 4,Ward 2,Rift Valley,86,Female,UDA,Yes,2013,UDA,Jubilee,Wiper
VOTER00021,Mombasa,Constituency 8,Ward 5,Coast,30,Male,UDA,No,2022,UDA,ODM,ODM
VOTER00022,Meru,Constituency 8,Ward 2,Eastern,69,Male,Wiper,No,2013,Wiper,Wiper,Jubilee
VOTER00023,Isiolo,Constituency 9,Ward 4,Eastern,37,Male,Wiper,Yes,2017,UDA,UDA,Independent
VOTER00024,Kakamega,Constituency 1,Ward 5,Western,79,Male,Ford Kenya,Yes,2013,ODM,Kanu,UDA
VOTER00025,Tana River,Constituency 2,Ward 5,Coast,49,Male,ODM,Yes,2022,ODM,Jubilee,Jubilee
VOTER00026,Taita Taveta,Constituency 6,Ward 2,Coast,51,Female,ODM,Yes,2013,ODM,UDA,UDA
VOTER00027,Mandera,Constituency 10,Ward 1,North Eastern,27,Male,UDA,No,2022,Jubilee,ODM,Jubilee
VOTER00028,Nairobi,Constituency 8,Ward 5,Nairobi,56,Male,ODM,Yes,2022,ODM,ODM,Jubilee
VOTER00029,Uasin Gishu,Constituency 9,Ward 2,Rift Valley,52,Female,UDA,Yes,2022,UDA,Jubilee,ODM
VOTER00030,Nairobi,Constituency 5,Ward 1,Nairobi,29,Female,UDA,Yes,2017,UDA,Jubilee,ODM
VOTER00031,Mandera,Constituency 7,Ward 5,North Eastern,19,Male,Jubilee,Yes,2013,UDA,UDA,Jubilee
VOTER00032,Siaya,Constituency 3,Ward 1,Nyanza,57,Female,ODM,No,2013,ODM,ODM,Independent
VOTER00033,Taita Taveta,Constituency 2,Ward 3,Coast,89,Female,UDA,No,2022,ODM,ODM,ODM
VOTER00034,Machakos,Constituency 3,Ward 3,Eastern,70,Male,Wiper,Yes,2017,Wiper,UDA,Wiper
VOTER00035,Kwale,Constituency 8,Ward 3,Coast,57,Male,ODM,Yes,2013,ODM,UDA,Jubilee
VOTER00036,Bungoma,Constituency 9,Ward 3,Western,21,Male,ODM,No,2017,ODM,UDA,Kanu
VOTER00037,Kitui,Constituency 6,Ward 4,Eastern,83,Male,UDA,Yes,2017,Wiper,Wiper,UDA
VOTER00038,Kilifi,Constituency 7,Ward 1,Coast,60,Female,UDA,Yes,2022,ODM,Jubilee,Independent
VOTER00039,Kitui,Constituency 7,Ward 3,Eastern,88,Male,Wiper,No,2013,UDA,ODM,Kanu
VOTER00040,Nairobi,Constituency 9,Ward 1,Nairobi,56,Female,UDA,Yes,2013,ODM,Wiper,Wiper
VOTER00041,Mandera,Constituency 4,Ward 5,North Eastern,78,Male,UDA,Yes,2022,ODM,Jubilee,UDA
VOTER00042,Taita Taveta,Constituency 5,Ward 2,Coast,43,Male,ODM,No,2013,ODM,UDA,Wiper
VOTER00043,Isiolo,Constituency 10,Ward 2,Eastern,67,Female,Wiper,Yes,2017,Wiper,UDA,Wiper
VOTER00044,Kwale,Constituency 9,Ward 4,Coast,24,Male,ODM,No,2013,ODM,Kanu,Kanu
VOTER00045,Bungoma,Constituency 10,Ward 5,Western,72,Female,UDA,Yes,2013,ODM,ODM,Independent
VOTER00046,Nairobi,Constituency 4,Ward 3,Nairobi,74,Male,UDA,Yes,2022,UDA,Kanu,UDA
VOTER00047,Homa Bay,Constituency 4,Ward 4,Nyanza,37,Male,ODM,Yes,2013,ODM,Jubilee,Kanu
VOTER00048,Wajir,Constituency 1,Ward 2,North Eastern,71,Female,Jubilee,Yes,2022,Jubilee,Kanu,Wiper
VOTER00049,Garissa,Constituency 6,Ward 3,North Eastern,67,Female,ODM,Yes,2022,ODM,ODM,Wiper
VOTER00050,Kilifi,Constituency 7,Ward 4,Coast,21,Female,ODM,No,2017,UDA,Wiper,ODM
VOTER00051,Kiambu,Constituency 10,Ward 5,Central,21,Male,UDA,Yes,2022,UDA,Wiper,ODM
VOTER00052,Kirinyaga,Constituency 7,Ward 3,Central,45,Female,UDA,Yes,2017,UDA,Wiper,Jubilee
VOTER00053,Kitui,Constituency 2,Ward 4,Eastern,20,Male,Wiper,Yes,2017,UDA,UDA,UDA
VOTER00054,Kwale,Constituency 1,Ward 5,Coast,37,Male,ODM,Yes,2013,UDA,Wiper,Independent
VOTER00055,Nairobi,Constituency 3,Ward 5,Nairobi,32,Male,UDA,Yes,2017,UDA,Independent,Wiper
VOTER00056,Isiolo,Constituency 4,Ward 1,Eastern,49,Male,UDA,No,2022,UDA,UDA,Kanu
VOTER00057,Kirinyaga,Constituency 9,Ward 4,Central,65,Male,UDA,Yes,2022,UDA,UDA,Wiper
VOTER00058,Garissa,Constituency 7,Ward 3,North Eastern,76,Male,UDA,Yes,2017,ODM,Kanu,Kanu
VOTER00059,Wajir,Constituency 7,Ward 5,North Eastern,52,Female,Jubilee,Yes,2013,Jubilee,ODM,Wiper
VOTER00060,Kitui,Constituency 1,Ward 4,Eastern,59,Male,Wiper,No,2017,Wiper,Kanu,Independent
VOTER00061,Nairobi,Constituency 9,Ward 2,Nairobi,28,Male,UDA,Yes,2022,UDA,Wiper,Independent
VOTER00062,Wajir,Constituency 1,Ward 1,North Eastern,55,Male,ODM,Yes,2017,ODM,Wiper,Kanu
VOTER00063,Bungoma,Constituency 9,Ward 3,Western,63,Female,ODM,Yes,2017,UDA,Jubilee,UDA
VOTER00064,Homa Bay,Constituency 4,Ward 4,Nyanza,53,Female,ODM,No,2013,ODM,Jubilee,ODM
VOTER00065,Vihiga,Constituency 5,Ward 1,Western,86,Male,ODM,Yes,2017,ODM,ODM,Independent
VOTER00066,Garissa,Constituency 1,Ward 5,North Eastern,54,Female,UDA,Yes,2017,UDA,Wiper,UDA
VOTER00067,Kericho,Constituency 8,Ward 1,Rift Valley,24,Male,UDA,No,2013,UDA,Jubilee,UDA
VOTER00068,Mombasa,Constituency 9,Ward 4,Coast,46,Female,UDA,Yes,2017,ODM,Wiper,Jubilee
VOTER00069,Embu,Constituency 2,Ward 2,Central,45,Female,UDA,Yes,2022,UDA,ODM,ODM
VOTER00070,Nakuru,Constituency 1,Ward 4,Rift Valley,75,Female,UDA,Yes,2017,UDA,Jubilee,Independent
VOTER00071,Nairobi,Constituency 2,Ward 2,Nairobi,51,Male,UDA,Yes,2017,UDA,Jubilee,ODM
VOTER00072,Uasin Gishu,Constituency 3,Ward 3,Rift Valley,90,Female,UDA,Yes,2017,UDA,Independent,Jubilee
VOTER00073,Kitui,Constituency 9,Ward 5,Eastern,81,Female,Wiper,No,2013,UDA,Kanu,Jubilee
VOTER00074,Nyeri,Constituency 4,Ward 5,Central,20,Female,UDA,Yes,2022,UDA,ODM,Wiper
VOTER00075,Wajir,Constituency 3,Ward 5,North Eastern,73,Female,UDA,Yes,2013,UDA,UDA,ODM
VOTER00076,Bungoma,Constituency 8,Ward 3,Western,69,Male,ODM,Yes,2017,ODM,Wiper,Kanu
VOTER00077,Nyandarua,Constituency 9,Ward 4,Central,70,Male,UDA,Yes,2013,UDA,Kanu,Wiper
VOTER00078,Garissa,Constituency 4,Ward 3,North Eastern,88,Male,UDA,Yes,2017,UDA,Independent,Kanu
VOTER00079,Taita Taveta,Constituency 3,Ward 3,Coast,88,Male,ODM,Yes,2022,UDA,UDA,Wiper
